Symbol / Abbreviation,Name in r3PG Fortran code,3-PG species parameter,Description,Units
a,aFracDiffu,*,fractionation against 13C in diffusion through air (4.4‰),per mil
"AGBP,ret ",,,Proportion of aboveground biomass retained after thinning,
aH,aH,*,Parameter of height equation,
aHL,aHL,*,Parameter of crown ratio equation,
aK,aK,*,Parameter of crown diameter equation,
aV,aV,*,Constant in the stem volume relationship,
aWS,aWS,*,Constant in the stem mass v. diam. relationship,
B,dbh,,Quadratic mean stem diameter at breast height,cm
b,bFracRubi,*,enzymatic fractionation by Rubisco (27‰),per mil
BA,basal_area or basal_area_total,,Basal area,m2 ha-1
BAlost,,,Basal area lost per month due to background mortality,m2 ha-1
BIASrel,DrelBias….,,relative bias that results from Jensen's inequality,
Bst,dbh_total,,Quadratic mean stem diameter of the whole stand,cm
C,competition_total,,Competition index calculated from basal area and wood specific gravity,m2 ha-1 x Mg m-3
ca,,,molar fraction of CO2 in the air,
calculate_d13c,,,setting. '0' = do not calculate; '1' = calculate,
crown_width_model,,,"setting, '1' = exponential form; '2' = Michajlow form; '3' = Näslund form",
CrownShape,CrownShape,,"cone = 1, ellipsoid = 2, half-elipsoid = 3, rectangular = 4",
CV,CV…,,coefficient of variation of independent variable when calculating Jensen's inequality,
cθ,SWconst,*,"Moisture ratio deficit for fθ = 0.5 (can be provided as species parameter, but this will only be used if it wasn’t provided as a site parameter)",
D,"vpd_day, VPD_sp",,Mean daytime VPD,mbar
Dc,VPD_sp,,VPD within the canopy,
df,frost_days,,Number of frost days per month,days
dN,mort_thinn_total,,Change in total stand N per month due to background mortality,trees per ha
dNcohort,stems_loss_density,,Change in N per month for a cohort due to background mortality,trees per ha
Dq ,,,specific saturation deficit (6.22 ´ 10-4 ´ VPD),
ET,evapo_transp,,Evapotranspiration rate in current period,mm (= kg per m2)
ɛsp,D13CTissueDif,*,difference between mean annual δ13C of new photosynthate and δ13C of tree rings,
f,"sum( max(fi(:), 1d-12) )",,Fraction of photosynthetically active radiation (ϕp) that is absorbed by the canopy,
fAGE,f_age,,Dimensionless growth modifier quantifying the effect of age,
fCg,f_cg,,Dimensionless canopy conductance modifier quantifying the effect of atmospheric CO2,
fCg700,fCg700,*,Canopy conductance enhancement factor when CO2 = 700 ppm,
fCα,f_calpha,,Dimensionless growth modifier quantifying the effect of atmospheric CO2,
fCα700,fCalpha700,*,Assimilation enhancement factor when CO2 = 700 ppm,
fD,f_vpd,,Dimensionless growth modifier quantifying the effect of vapour pressure deficit,
fF,f_frost,,Dimensionless growth modifier quantifying the effect of frost,
Ffraction,manag_remove_prop_compartment,,Mean single-tree foliage biomass of removed trees relative to that of the mean tree prior to thinning ,
fgT,f_tmp_gc,,Dimensionless canopy conductance modifier quantifying the effect of temperature,
fN,f_nutr,,Dimensionless growth modifier quantifying the effect of soil nutrition,
fN0,fN0,*,Value of fN when FR = 0,
fNlt,lt_fN_ave,,"Long-term dimensionless growth modifier quantifying the effect of soil nutrition, averaged across all cohorts (weighted by their contribution to stand basal area)",
FR,fertility,,Soil fertility rating,
fT,f_tmp,,Dimensionless growth modifier quantifying the effect of temperature,
fTlt,lt_fT_ave,,"Long-term dimensionless growth modifier quantifying the effect of temperature, averaged across all cohorts (weighted by their contribution to stand basal area)",
fθ,f_sw,,Dimensionless growth modifier quantifying the effect of soil moisture,
gB,BLcond,*,aerodynamic conductance (boundary layer conductance),m s-1
gc,conduct_canopy,,Canopy conductance,m s-1
gcmax ,MaxCond,*,Maximum canopy conductance,m s-1
gcmin ,MinCond,*,Minimum canopy conductance,m s-1
GPP,GPP,,Gross primary productivity,tDM ha-1
gsoil ,conduct_soil,,Soil conductance,m s-1
gsoilx ,MaxSoilCond,,Maximum  soil conductance,m s-1
h,height,,Height of a cohort,m
h0.5 ,Height_max / 2.d0,,half the height of the tallest species within the stand,m
hb,Heightcrown,,Height of the bottom of the live crown,m
Hd,Hd,*,Height of the diameter measurements for allometric equations,m
height_model,,,"setting, '1' = exponential form; '2' = Michajlow form; '3' = Näslund form",
hL,height_wtav_LAI,,Weighted average (by L) height of all cohorts in a stand,
hm,Heightmidcrown,,Mid-crown height (mid point between tree height and the bottom of the live crown hb),m
IR,prcp_interc_fract,,Fraction of rainfall intercepted by the canopy for a single cohort,
IR,MaxIntcptn,*,Maximum proportion of rainfall evaporated from canopy,
IRT ,prcp_interc_fract,,Fraction of rainfall intercepted by canopy by all cohorts,
K,crown_width,,Crown diameter,m
k or kH,k,*,Extinction coefficient for absorption of PAR by canopy (kH is for a homogeneous canopy),
kD,CoeffCond,*,Defines stomatal response to VPD,1/mBar
kF,kF,*,Days production lost per frost day,days
L,lai,,Leaf area index,m2 m-2
L50 ,cVPD,*,LAI for 50% reduction of VPD in canopy ,m2 m-2
LA,lai(:) * 10000.d0 / stems_n(:),,Mean tree leaf area,m2/tree
Labove,lai_above,,L of all layers above the layer in which the given cohort is in,m2 m-2
LCR,aHL,,Live crown ratio (live-crown length / height),
leafL,leaffall,*,"If deciduous, leaves all fall at start of this month",month
leafP,leafgrow,*,"If deciduous, leaves are produced at end of this month",month
Lgcmax ,LAIgcx,*,LAI for maximum canopy conductance,m2 m-2
light_model,,,"setting, '1' = 3-PGpjs (default); '2' = 3-Pgmix",
LIx ,LAImaxIntcptn,*,LAI for maximum rainfall interception,m2 m-2
Lmix ,,,Cohort L / spL,m2 m-2
loc,...WeibullLocation,,location parameter of Weibull distribution,
locB0,Dlocation0,*,Constant in the relationship for Weibull location parameter of D distribution,
locBB,DlocationB,*,Slope of DBH in relationship for Weibull location parameter of D distribution,
locBC,DlocationC,*,Slope of competition in relationship for Weibull location parameter of D distribution,
locBrh,Dlocationrh,*,Slope of relative height in relationship for Weibull location parameter of D distribution,
locBt,Dlocationt,*,Slope of age in relationship for Weibull location parameter of D distribution,
Lprop ,lai_per,,Proportion of stand L contributed by the cohort,
m0,m0,*,Value of 'm' when FR = 0,
mAPAR,m_apar,,ϕpa multiplier to redistribute unabsorbed PAR ϕp to short cohorts,
